,data
1260,23.41
1261,23.64
1262,23.5
1263,23.25
1264,23.0
1265,22.84
1266,22.91
1267,23.09
1268,23.0
1269,22.77
1270,22.83
1271,22.8
1272,23.14
1273,23.38
1274,23.54
1275,23.1
1276,22.91
1277,22.95
1278,22.84
1279,22.68
1280,22.7
1281,22.5
1282,22.96
1283,22.85
1284,23.04
1285,23.39
1286,23.39
1287,23.03
1288,23.06
1289,22.98
1290,22.56
1291,22.45
1292,22.77
1293,22.88
1294,22.87
1295,23.02
1296,23.32
1297,23.49
1298,23.31
1299,23.25
1300,23.13
1301,22.89
1302,22.87
1303,22.69
1304,22.41
1305,22.81
1306,22.93
1307,23.03
1308,23.17
1309,23.25
1310,23.19
1311,22.86
1312,22.71
1313,22.96
1314,23.0
1315,22.87
1316,22.73
1317,22.92
1318,22.96
1319,23.22
1320,23.49
1321,23.49
1322,23.45
1323,23.2
1324,22.97
1325,22.86
1326,22.72
1327,22.75
1328,22.83
1329,22.81
1330,22.86
1331,23.03
1332,23.25
1333,23.15
1334,22.99
1335,22.8
1336,22.85
1337,22.8
1338,22.93
1339,22.74
1340,22.69
1341,22.92
1342,22.81
1343,22.99
1344,23.32
1345,23.5
1346,23.55
1347,23.15
1348,22.91
1349,23.03
1350,22.87
1351,22.99
1352,22.64
1353,22.82
1354,22.88
1355,23.06
1356,23.27
1357,23.51
1358,23.49
1359,23.31
1360,22.99
1361,23.17
1362,23.14
1363,23.1
1364,23.12
1365,23.12
1366,22.86
1367,22.9
1368,23.19
1369,23.23
1370,23.21
1371,23.18
1372,22.84
1373,22.82
1374,22.67
1375,22.89
1376,22.85
1377,22.85
1378,22.59
1379,22.82
1380,23.11
1381,23.22
1382,23.19
1383,23.13
1384,22.88
1385,22.84
1386,22.81
1387,22.86
1388,22.64
1389,22.84
1390,23.08
1391,23.15
1392,23.19
1393,23.29
1394,23.24
1395,23.1
1396,23.04
1397,22.83
1398,22.83
1399,22.86
1400,22.84
1401,22.95
1402,22.9
1403,22.94
1404,23.19
1405,23.46
1406,23.47
1407,23.28
1408,22.9
1409,23.04
1410,22.91
1411,22.72
1412,22.69
1413,22.66
1414,22.96
1415,23.0
1416,23.14
1417,23.23
1418,23.19
1419,22.87
1420,22.91
1421,22.9
1422,22.95
1423,23.03
1424,23.08
1425,22.94
1426,22.75
1427,22.99
1428,23.3
1429,23.52
1430,23.33
1431,23.21
1432,23.04
1433,22.89
1434,23.05
1435,23.14
1436,22.71
1437,22.62
1438,22.93
1439,23.03
1440,23.24
1441,23.42
1442,23.39
1443,23.13
1444,22.84
1445,22.78
1446,22.71
1447,22.99
1448,22.66
1449,22.84
1450,22.94
1451,23.12
1452,23.31
1453,23.49
1454,23.45
1455,23.26
1456,22.91
1457,22.93
1458,22.85
1459,22.9
1460,22.84
1461,23.08
1462,22.98
1463,23.18
1464,23.62
1465,23.59
1466,23.47
1467,23.28
1468,23.12
1469,23.1
1470,23.04
1471,22.94
1472,22.98
1473,22.97
1474,22.61
1475,22.96
1476,23.32
1477,23.35
1478,23.38
1479,23.18
1480,22.91
1481,22.99
1482,22.79
1483,22.67
1484,22.94
1485,22.92
1486,22.98
1487,23.11
1488,23.48
1489,23.53
1490,23.43
1491,23.28
1492,23.04
1493,23.13
1494,23.04
1495,23.32
1496,23.41
1497,23.1
1498,22.98
1499,23.13
1500,23.49
1501,23.71
1502,23.6
1503,23.29
1504,22.98
1505,23.04
1506,22.99
1507,22.98
1508,22.85
1509,22.86
1510,22.83
1511,23.07
1512,23.35
1513,23.56
1514,23.54
1515,23.44
1516,23.2
1517,23.16
1518,22.95
1519,23.16
1520,23.07
1521,22.95
1522,22.92
1523,23.05
1524,23.44
1525,23.53
1526,23.46
1527,23.1
1528,23.05
1529,23.05
1530,23.0
1531,23.06
1532,22.83
1533,23.23
1534,23.16
1535,23.26
1536,23.66
1537,23.63
1538,23.31
1539,22.91
1540,22.86
1541,22.91
1542,22.94
1543,22.97
1544,23.04
1545,22.88
1546,23.02
1547,23.1
1548,23.32
1549,23.49
1550,23.45
1551,23.19
1552,23.09
1553,23.27
1554,23.05
1555,22.82
1556,23.37
1557,23.22
1558,23.11
1559,23.19
1560,23.41
1561,23.65
1562,23.59
1563,23.31
1564,22.97
1565,22.86
1566,22.89
1567,23.01
1568,22.94
1569,23.08
1570,22.99
1571,22.97
1572,23.24
1573,23.47
1574,23.39
1575,23.31
1576,23.0
1577,23.06
1578,23.01
1579,23.03
1580,23.31
1581,23.17
1582,22.96
1583,23.15
1584,23.39
1585,23.63
1586,23.39
1587,23.22
1588,23.1
1589,22.96
1590,22.96
1591,22.86
1592,22.86
1593,22.85
1594,22.82
1595,22.81
1596,23.23
1597,23.32
1598,23.32
1599,23.13
1600,22.73
1601,22.92
1602,23.01
1603,22.91
1604,23.29
1605,22.91
1606,22.96
1607,23.2
1608,23.37
1609,23.56
1610,23.5
1611,23.42
1612,23.1
1613,23.1
1614,23.0
1615,22.86
1616,23.25
1617,23.03
1618,23.02
1619,23.12
1620,23.48
1621,23.55
1622,23.5
1623,23.3
1624,23.01
1625,22.83
1626,23.0
1627,23.02
1628,22.94
1629,22.99
1630,22.74
1631,22.79
1632,23.23
1633,23.46
1634,23.41
1635,23.13
1636,22.83
1637,22.84
1638,23.14
1639,23.1
1640,23.03
1641,22.97
1642,23.09
1643,23.18
1644,23.37
1645,23.46
1646,23.53
1647,23.32
1648,23.29
1649,22.99
1650,22.99
1651,22.99
1652,22.91
1653,22.74
1654,22.83
1655,23.04
1656,23.34
1657,23.69
1658,23.59
1659,23.36
1660,23.19
1661,23.08
1662,22.99
1663,22.92
1664,23.05
1665,22.99
1666,22.95
1667,22.92
1668,23.18
1669,23.38
1670,23.42
1671,23.17
1672,22.94
1673,22.96
1674,22.93
1675,22.99
1676,23.1
1677,22.99
1678,22.9
1679,22.95
1680,23.19
1681,23.36
1682,23.35
1683,23.11
1684,22.93
1685,22.86
1686,23.22
1687,23.08
1688,23.09
1689,23.1
1690,22.99
1691,23.07
1692,23.17
1693,23.43
1694,23.5
1695,23.38
1696,23.29
1697,23.04
1698,22.95
1699,23.11
1700,23.06
1701,23.04
1702,22.92
1703,22.94
1704,23.15
1705,23.44
1706,23.56
1707,23.28
1708,23.26
1709,23.18
1710,23.15
1711,23.01
1712,23.33
1713,23.3
1714,23.27
1715,23.35
1716,23.45
1717,23.48
1718,23.21
1719,23.14
1720,23.15
1721,23.02
1722,23.09
1723,22.83
1724,22.83
1725,22.87
1726,23.02
1727,23.13
1728,23.44
1729,23.47
1730,23.44
1731,23.17
1732,22.83
1733,22.87
1734,22.93
1735,22.86
1736,22.94
1737,22.86
1738,22.8
1739,22.85
1740,23.06
1741,23.27
1742,23.42
1743,23.26
1744,22.87
1745,23.02
1746,23.01
1747,22.93
1748,22.95
1749,23.0
1750,22.98
1751,23.06
1752,23.27
1753,23.45
1754,23.48
1755,23.32
1756,23.05
1757,23.1
1758,23.05
1759,23.17
1760,23.16
1761,22.96
1762,22.79
1763,22.84
1764,23.2
1765,23.41
1766,23.39
1767,23.16
1768,23.01
1769,23.09
1770,23.13
1771,22.81
1772,23.05
1773,23.02
1774,22.94
1775,22.99
1776,23.14
1777,23.32
1778,23.32
1779,23.08
1780,22.8
1781,22.99
1782,23.08
1783,22.89
1784,23.05
1785,23.19
1786,22.88
1787,22.87
1788,23.2
1789,23.53
1790,23.5
1791,23.35
1792,23.05
1793,22.85
1794,22.7
1795,22.78
1796,23.01
1797,23.07
1798,22.75
1799,22.76
1800,23.15
1801,23.36
1802,23.35
1803,23.18
1804,23.16
1805,23.12
1806,23.01
1807,22.78
1808,22.84
1809,23.08
1810,22.78
1811,22.83
1812,23.3
1813,23.65
1814,23.44
1815,23.31
1816,22.94
1817,22.97
1818,22.62
1819,22.62
1820,22.87
1821,22.97
1822,22.77
1823,22.75
1824,23.0
1825,23.18
1826,23.21
1827,23.01
1828,22.78
1829,22.96
1830,23.13
1831,22.92
1832,23.03
1833,23.08
1834,22.84
1835,22.83
1836,23.31
1837,23.45
1838,23.38
1839,23.14
1840,22.87
1841,22.98
1842,23.29
1843,23.23
1844,22.88
1845,22.83
1846,22.93
1847,22.96
1848,23.21
1849,23.4
1850,23.41
1851,23.17
1852,23.07
1853,23.11
1854,23.08
1855,23.09
1856,22.84
1857,22.87
1858,22.68
1859,22.72
1860,23.12
1861,23.31
1862,23.2
1863,23.0
1864,22.87
1865,22.71
1866,22.79
1867,22.72
1868,23.14
1869,22.86
1870,22.85
1871,22.81
1872,23.3
1873,23.51
1874,23.38
1875,23.17
1876,22.9
1877,23.01
1878,22.82
1879,22.72
1880,22.72
1881,22.77
1882,22.91
1883,22.98
1884,23.27
1885,23.51
1886,23.41
1887,23.15
1888,22.94
1889,22.94
1890,23.04
1891,22.75
1892,22.66
1893,22.7
1894,22.71
1895,22.81
1896,23.14
1897,23.39
1898,23.35
1899,23.26
1900,23.03
1901,23.05
1902,23.07
1903,22.92
1904,23.06
1905,22.85
1906,22.88
1907,22.97
1908,23.32
1909,23.41
1910,23.43
1911,23.26
1912,23.14
1913,23.19
1914,23.06
1915,22.75
1916,23.0
1917,23.2
1918,22.78
1919,22.82
1920,23.11
1921,23.35
1922,23.44
1923,23.27
1924,22.96
1925,23.12
1926,23.03
1927,22.83
1928,23.01
1929,23.04
1930,22.99
1931,23.0
1932,23.37
1933,23.38
1934,23.22
1935,22.93
1936,22.93
1937,22.99
1938,23.0
1939,23.11
1940,23.02
1941,23.14
1942,23.04
1943,23.09
1944,23.44
1945,23.72
1946,23.67
1947,23.41
1948,23.13
1949,23.16
1950,23.06
1951,22.97
1952,23.13
1953,23.04
1954,22.87
1955,22.99
1956,23.21
1957,23.51
1958,23.52
1959,23.2
1960,23.08
1961,23.13
1962,23.01
1963,23.01
1964,23.04
1965,23.14
1966,22.91
1967,22.89
1968,23.18
1969,23.58
1970,23.47
1971,23.32
1972,23.11
1973,23.13
1974,23.17
1975,23.3
1976,23.21
1977,23.19
1978,23.0
1979,22.98
1980,23.33
1981,23.52
1982,23.42
1983,23.27
1984,22.81
1985,23.03
1986,23.22
1987,23.14
1988,22.9
1989,22.84
1990,23.05
1991,23.06
