Day,Dark_red,red,orange,yellow
1986-07-20,0.0,0.0,0.00827516339869281,0.07926078431372549
1986-07-27,0.0,0.00021372549019607842,0.007408169934640523,0.08722892156862745
1986-08-03,0.0,0.00014836601307189544,0.017179084967320263,0.11243643790849674
1986-08-10,0.0,9.591503267973856e-05,0.024044607843137254,0.10876928104575163
1986-08-17,0.0,0.00047826797385620916,0.03696307189542484,0.09602271241830065
1986-08-24,0.0,0.003884313725490196,0.048775980392156866,0.08659346405228759
1986-08-31,0.0007148692810457516,0.011787254901960784,0.03750261437908497,0.09605980392156863
1986-09-07,0.0028058823529411763,0.01690016339869281,0.021590032679738563,0.0776124183006536
1986-09-14,0.007088071895424836,0.014795588235294118,0.02936062091503268,0.08505359477124183
1986-09-21,0.010423366013071896,0.009904575163398693,0.022936601307189542,0.07775392156862745
