Day,Dark_red,red,orange,yellow
1986-06-08,0.0,0.0,0.004696717171717171,0.023463720538720537
1986-06-15,0.0,0.0,0.0022553872053872053,0.014476094276094276
1986-06-22,0.0,5.976430976430976e-06,0.0019627104377104377,0.014030723905723906
1986-06-29,0.0,1.1363636363636363e-05,0.003573063973063973,0.01728611111111111
1986-07-06,0.0,3.872053872053872e-06,0.0014609427609427609,0.012543771043771045
1986-07-13,0.0,0.0,0.0006388888888888889,0.010637121212121212
1986-07-20,0.0,1.6835016835016834e-05,0.0028215488215488217,0.02864503367003367
1986-07-27,0.0,0.00022356902356902356,0.003281060606060606,0.03724444444444444
1986-08-03,0.0,0.00018636363636363636,0.008372306397306397,0.05462744107744108
1986-08-10,0.0,0.00026481481481481484,0.013927777777777779,0.05553888888888889
1986-08-17,0.0,0.0008402356902356903,0.01806590909090909,0.06493813131313131
